n	question	command	r2cmd	explanation
46	Where can I look for comments on the register profile?	look for register profile comments	Use the `arpc` command to view comments related to the register profile.	arpc
47	How can I display the internal layout of the register profile?	display internal layout of register profile	The `arpi` command shows the internal layout of the register profile.	arpi
48	What command do I use to show the fake size of the register profile?	show fake size of register profile	The `arp.` command shows the fake size of the current register profile.	arp.
49	How do I set the register profile fake size to 64?	set fake size to 64	Use the `arps` command followed by the desired size to set the fake size of the register profile.	arps 64
50	How can I display comments for the register profile?	display comments for register profile	The `arpg` command displays comments associated with the register profile.	arpg
51	How can I load a register profile from `sample.reg`?	load register profile from sample file	To load a register profile from a file, use the `arp` command followed by the file name.	arp sample.reg
52	How do I view the register profile as JSON data?	view register profile as JSON data	The `arpj` command shows the register profile in JSON format.	arpj
53	What command shows me the current register profile?	show current register profile	The `arp` command without arguments shows the current register profile.	arp
54	How can I convert a GDB register profile from `mygdb.reg`?	convert GDB register profile from mygdb.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb mygdb.reg
55	How do I generate commands for creating flags for registers?	generate commands for register flags	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
56	Where can I find comments related to the register profile?	find comments related to register profile	Use the `arpc` command to view comments related to the register profile.	arpc
57	How can I see the internal details of the register profile?	see internal details of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
58	What command shows the fake size of the current register profile?	show fake size of current register profile	The `arp.` command shows the fake size of the current register profile.	arp.
59	How do I change the register profile fake size to 32?	change fake size to 32	Use the `arps` command followed by the desired size to change the fake size of the register profile.	arps 32
60	How can I display register profile comments?	display register profile comments	The `arpg` command displays comments associated with the register profile.	arpg
61	How can I set a register profile from `test.reg`?	set register profile from test file	To set a register profile from a file, use the `arp` command followed by the file name.	arp test.reg
62	How do I view the register profile in JSON?	view register profile in JSON	The `arpj` command shows the register profile in JSON format.	arpj
63	What command shows the current register profile?	show current register profile	The `arp` command without arguments shows the current register profile.	arp
64	How can I convert a GDB register profile from `convert.reg`?	convert GDB register profile from convert.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb convert.reg
65	How do I print commands for creating flags for each register?	print commands for register flags	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
66	Where can I find comments for the register profile?	find comments for register profile	Use the `arpc` command to view comments related to the register profile.	arpc
67	How can I display the internal structure of the register profile?	display internal structure of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
68	What command shows the fake size for the register profile?	show fake size for register profile	The `arp.` command shows the fake size of the current register profile.	arp.
69	How do I set the register profile fake size to 256?	set fake size to 256	Use the `arps` command followed by the desired size to set the fake size of the register profile.	arps 256
70	How can I show comments for the register profile?	show comments for register profile	The `arpg` command shows comments associated with the register profile.	arpg
71	How can I load a register profile from `backup.reg`?	load register profile from backup file	To load a register profile from a file, use the `arp` command followed by the file name.	arp backup.reg
72	How do I view the register profile as JSON?	view register profile as JSON	The `arpj` command shows the register profile in JSON format.	arpj
73	What command shows the current register profile in use?	show current register profile in use	The `arp` command without arguments shows the current register profile.	arp
74	How can I convert a GDB register profile from `file.reg`?	convert GDB register profile from file.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb file.reg
75	How do I generate commands to create flags for registers?	generate commands to create flags for registers	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
76	Where can I see comments on the register profile?	see comments on register profile	Use the `arpc` command to view comments associated with the register profile.	arpc
77	How can I check the internal representation of the register profile?	check internal representation of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
78	What command shows the fake size of the profile?	show fake size of the profile	The `arp.` command shows the fake size of the current register profile.	arp.
79	How do I set the register profile fake size to 512?	set fake size to 512	Use the `arps` command followed by the desired size to set the fake size of the register profile.	arps 512
80	How can I display comments for the register profile?	display comments for the register profile	The `arpg` command displays comments associated with the register profile.	arpg
81	How can I set a register profile from `newprofile.reg`?	set register profile from newprofile.reg	To set a register profile from a file, use the `arp` command followed by the file name.	arp newprofile.reg
82	How do I view the register profile in JSON format?	view register profile in JSON format	The `arpj` command shows the register profile in JSON format.	arpj
83	What command shows the current register profile?	show current register profile	The `arp` command without arguments shows the current register profile.	arp
84	How can I convert a GDB register profile from `gdbexample.reg`?	convert GDB register profile from gdbexample.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb gdbexample.reg
85	How do I print commands to create flags for registers in the arena offset?	print commands to create flags for registers	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
86	Where can I find comments associated with the register profile?	find comments associated with register profile	Use the `arpc` command to view comments related to the register profile.	arpc
87	How can I display the internal details of the register profile?	display internal details of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
88	What command shows the fake size of the register profile?	show fake size of register profile	The `arp.` command shows the fake size of the current register profile.	arp.
89	How do I adjust the register profile fake size to 128?	adjust fake size to 128	Use the `arps` command followed by the desired size to adjust the fake size of the register profile.	arps 128
90	How can I show comments for the register profile?	show comments for register profile	The `arpg` command shows comments associated with the register profile.	arpg
91	How can I load a register profile from `oldprofile.reg`?	load register profile from oldprofile.reg	To load a register profile from a file, use the `arp` command followed by the file name.	arp oldprofile.reg
92	How do I view the register profile as JSON data?	view register profile as JSON data	The `arpj` command shows the register profile in JSON format.	arpj
93	What command shows the current register profile in use?	show current register profile in use	The `arp` command without arguments shows the current register profile.	arp
94	How can I convert a GDB register profile from `gdbconvert.reg`?	convert GDB register profile from gdbconvert.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb gdbconvert.reg
95	How do I generate commands to create flags for registers?	generate commands to create flags for registers	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
96	Where can I see comments on the register profile?	see comments on register profile	Use the `arpc` command to view comments associated with the register profile.	arpc
97	How can I check the internal representation of the register profile?	check internal representation of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
98	What command shows the fake size of the profile?	show fake size of the profile	The `arp.` command shows the fake size of the current register profile.	arp.
99	How do I set the register profile fake size to 64?	set fake size to 64	Use the `arps` command followed by the desired size to set the fake size of the register profile.	arps 64
100	How can I display comments for the register profile?	display comments for the register profile	The `arpg` command displays comments associated with the register profile.	arpg
101	How can I set a register profile from `recentprofile.reg`?	set register profile from recentprofile.reg	To set a register profile from a file, use the `arp` command followed by the file name.	arp recentprofile.reg
102	How do I view the register profile in JSON format?	view register profile in JSON format	The `arpj` command shows the register profile in JSON format.	arpj
103	What command shows the current register profile?	show current register profile	The `arp` command without arguments shows the current register profile.	arp
104	How can I convert a GDB register profile from `gdbtest.reg`?	convert GDB register profile from gdbtest.reg	Use `arp gdb` followed by the file name to convert a GDB register profile.	arp gdb gdbtest.reg
105	How do I print commands to create flags for registers in the arena offset?	print commands to create flags for registers	The `arp*` command prints radare2 commands to create flags for each register in the arena offset.	arp*
106	Where can I find comments associated with the register profile?	find comments associated with register profile	Use the `arpc` command to view comments related to the register profile.	arpc
107	How can I display the internal details of the register profile?	display internal details of register profile	The `arpi` command shows the internal representation of the register profile.	arpi
108	What command shows the fake size of the register profile?	show fake size of register profile	The `arp.` command shows the fake size of the current register profile.	arp.
109	How do I adjust the register profile fake size to 32?	adjust fake size to 32	Use the `arps` command followed by the desired size to adjust the fake size of the register profile.	arps 32
110	How can I show comments for the register profile?	show comments for register profile	The `arpg` command shows comments associated with the register profile.	arpg
1	What is the current syscall being used?	current syscall	This command shows the current syscall and its arguments based on the current state of the registers and memory.	as
2	How can I find details about syscall number 4?	details of syscall 4	This command displays the information about syscall number 4 using the current settings for the operating system and registers/memory.	as 4
3	Can you provide the assembly or header information for syscall number 4?	assembly or header info for syscall 4	This command dumps the syscall information for number 4 in assembly or header format.	asc 4
4	Where can I find the syscall data for number 4 in assembly format?	syscall data for 4 in assembly	This command specifically dumps the syscall information for number 4 in assembly format.	asca 4
5	How do I get a list of all syscalls in JSON format?	list syscalls in JSON	This command provides a list of all syscalls formatted as JSON data.	asj
6	What are the syscalls available for my current OS and architecture?	list syscalls for current OS and architecture	This command lists the syscalls available for the current operating system and architecture settings.	asl
7	How do I find the syscall number for the 'close' operation?	syscall number for close	This command returns the syscall number associated with the 'close' operation.	asl close
8	What is the name of the syscall associated with number 4?	name of syscall number 4	This command returns the name of the syscall that corresponds to the number 4.	asl 4
9	How can I perform a query on syscalls?	query syscalls	This command allows you to perform queries related to syscalls, using various parameters.	ask
10	Can you search for a specific syscall using a query?	search syscall with query	This command lets you perform a specific query to search for a syscall.	ask [query]
11	What's the syscall number for 'open'?	syscall number for open	This command would return the syscall number for the 'open' operation, similar to 'close'.	asl open
12	How to list all syscalls for Linux on x86?	list Linux x86 syscalls	This command lists all syscalls available for the Linux operating system on the x86 architecture.	asl linux x86
13	What syscall corresponds to number 5?	syscall name for number 5	This command returns the name of the syscall that corresponds to number 5.	asl 5
14	How can I see syscall information in a header file format?	header file format syscall info	This command dumps the syscall information in a header file format.	asch 4
15	Where can I find the syscall number for 'read'?	syscall number for read	This command returns the syscall number associated with the 'read' operation.	asl read
16	What syscall is linked with number 3?	syscall name for number 3	This command returns the name of the syscall that corresponds to number 3.	asl 3
17	How do I get a JSON list of syscalls?	JSON list of syscalls	This command provides a list of all syscalls in JSON format.	asj
18	Can you show me the syscall information for number 6?	syscall info for number 6	This command displays the information about syscall number 6 using the current settings for the operating system and registers/memory.	as 6
19	How to find the syscall number for 'write'?	syscall number for write	This command returns the syscall number associated with the 'write' operation.	asl write
20	What is the syscall associated with number 2?	syscall name for number 2	This command returns the name of the syscall that corresponds to number 2.	asl 2
21	How can I list all syscalls for macOS on ARM?	list macOS ARM syscalls	This command lists all syscalls available for the macOS operating system on the ARM architecture.	asl macos arm
22	Where can I find the syscall number for 'exit'?	syscall number for exit	This command returns the syscall number associated with the 'exit' operation.	asl exit
23	What is the syscall for number 1?	syscall name for number 1	This command returns the name of the syscall that corresponds to number 1.	asl 1
24	How can I dump syscall information for number 7?	dump syscall info for number 7	This command dumps the syscall information for number 7 in assembly or header format.	asc 7
25	Can you show me the syscall number for 'fork'?	syscall number for fork	This command returns the syscall number associated with the 'fork' operation.	asl fork
26	What is the name of the syscall for number 8?	syscall name for number 8	This command returns the name of the syscall that corresponds to number 8.	asl 8
27	How to find syscall information in .asm format for number 9?	asm format syscall info for number 9	This command dumps the syscall information for number 9 in .asm format.	asca 9
28	Where can I find the syscall number for 'wait'?	syscall number for wait	This command returns the syscall number associated with the 'wait' operation.	asl wait
29	What is the syscall associated with number 10?	syscall name for number 10	This command returns the name of the syscall that corresponds to number 10.	asl 10
30	How can I get syscall information for number 11 in header format?	header format syscall info for number 11	This command dumps the syscall information for number 11 in header format.	asch 11
31	Can you show me the syscall number for 'execve'?	syscall number for execve	This command returns the syscall number associated with the 'execve' operation.	asl execve
32	What is the name of the syscall for number 12?	syscall name for number 12	This command returns the name of the syscall that corresponds to number 12.	asl 12
33	How to find syscall information for number 13 in assembly format?	assembly format syscall info for number 13	This command dumps the syscall information for number 13 in assembly format.	asca 13
34	Where can I find the syscall number for 'kill'?	syscall number for kill	This command returns the syscall number associated with the 'kill' operation.	asl kill
35	What is the syscall associated with number 14?	syscall name for number 14	This command returns the name of the syscall that corresponds to number 14.	asl 14
36	How can I get syscall information for number 15 in .asm format?	asm format syscall info for number 15	This command dumps the syscall information for number 15 in .asm format.	asca 15
37	Can you show me the syscall number for 'pipe'?	syscall number for pipe	This command returns the syscall number associated with the 'pipe' operation.	asl pipe
38	What is the name of the syscall for number 16?	syscall name for number 16	This command returns the name of the syscall that corresponds to number 16.	asl 16
39	How to find syscall information for number 17 in header format?	header format syscall info for number 17	This command dumps the syscall information for number 17 in header format.	asch 17
40	Where can I find the syscall number for 'dup'?	syscall number for dup	This command returns the syscall number associated with the 'dup' operation.	asl dup
41	What is the syscall associated with number 18?	syscall name for number 18	This command returns the name of the syscall that corresponds to number 18.	asl 18
42	How can I get syscall information for number 19 in .asm format?	asm format syscall info for number 19	This command dumps the syscall information for number 19 in .asm format.	asca 19
43	Can you show me the syscall number for 'chdir'?	syscall number for chdir	This command returns the syscall number associated with the 'chdir' operation.	asl chdir
44	What is the name of the syscall for number 20?	syscall name for number 20	This command returns the name of the syscall that corresponds to number 20.	asl 20
45	How to find syscall information for number 21 in assembly format?	assembly format syscall info for number 21	This command dumps the syscall information for number 21 in assembly format.	asca 21
46	Where can I find the syscall number for 'fchdir'?	syscall number for fchdir	This command returns the syscall number associated with the 'fchdir' operation.	asl fchdir
47	What is the syscall associated with number 22?	syscall name for number 22	This command returns the name of the syscall that corresponds to number 22.	asl 22
48	How can I get syscall information for number 23 in header format?	header format syscall info for number 23	This command dumps the syscall information for number 23 in header format.	asch 23
49	Can you show me the syscall number for 'mmap'?	syscall number for mmap	This command returns the syscall number associated with the 'mmap' operation.	asl mmap
50	What is the name of the syscall for number 24?	syscall name for number 24	This command returns the name of the syscall that corresponds to number 24.	asl 24
51	How to find syscall information for number 25 in .asm format?	asm format syscall info for number 25	This command dumps the syscall information for number 25 in .asm format.	asca 25
52	Where can I find the syscall number for 'munmap'?	syscall number for munmap	This command returns the syscall number associated with the 'munmap' operation.	asl munmap
53	What is the syscall associated with number 26?	syscall name for number 26	This command returns the name of the syscall that corresponds to number 26.	asl 26
54	How can I get syscall information for number 27 in assembly format?	assembly format syscall info for number 27	This command dumps the syscall information for number 27 in assembly format.	asca 27
55	Can you show me the syscall number for 'brk'?	syscall number for brk	This command returns the syscall number associated with the 'brk' operation.	asl brk
56	What is the name of the syscall for number 28?	syscall name for number 28	This command returns the name of the syscall that corresponds to number 28.	asl 28
57	How to find syscall information for number 29 in header format?	header format syscall info for number 29	This command dumps the syscall information for number 29 in header format.	asch 29
58	Where can I find the syscall number for 'sbrk'?	syscall number for sbrk	This command returns the syscall number associated with the 'sbrk' operation.	asl sbrk
59	What is the syscall associated with number 30?	syscall name for number 30	This command returns the name of the syscall that corresponds to number 30.	asl 30
60	How can I get syscall information for number 31 in .asm format?	asm format syscall info for number 31	This command dumps the syscall information for number 31 in .asm format.	asca 31
61	Can you show me the syscall number for 'clone'?	syscall number for clone	This command returns the syscall number associated with the 'clone' operation.	asl clone
62	What is the name of the syscall for number 32?	syscall name for number 32	This command returns the name of the syscall that corresponds to number 32.	asl 32
63	How to find syscall information for number 33 in assembly format?	assembly format syscall info for number 33	This command dumps the syscall information for number 33 in assembly format.	asca 33
64	Where can I find the syscall number for 'vfork'?	syscall number for vfork	This command returns the syscall number associated with the 'vfork' operation.	asl vfork
65	What is the syscall associated with number 34?	syscall name for number 34	This command returns the name of the syscall that corresponds to number 34.	asl 34
66	How can I get syscall information for number 35 in header format?	header format syscall info for number 35	This command dumps the syscall information for number 35 in header format.	asch 35
67	Can you show me the syscall number for 'getpid'?	syscall number for getpid	This command returns the syscall number associated with the 'getpid' operation.	asl getpid
68	What is the name of the syscall for number 36?	syscall name for number 36	This command returns the name of the syscall that corresponds to number 36.	asl 36
69	How to find syscall information for number 37 in .asm format?	asm format syscall info for number 37	This command dumps the syscall information for number 37 in .asm format.	asca 37
70	Where can I find the syscall number for 'getppid'?	syscall number for getppid	This command returns the syscall number associated with the 'getppid' operation.	asl getppid
71	What is the syscall associated with number 38?	syscall name for number 38	This command returns the name of the syscall that corresponds to number 38.	asl 38
72	How can I get syscall information for number 39 in assembly format?	assembly format syscall info for number 39	This command dumps the syscall information for number 39 in assembly format.	asca 39
73	Can you show me the syscall number for 'getuid'?	syscall number for getuid	This command returns the syscall number associated with the 'getuid' operation.	asl getuid
74	What is the name of the syscall for number 40?	syscall name for number 40	This command returns the name of the syscall that corresponds to number 40.	asl 40
75	How to find syscall information for number 41 in header format?	header format syscall info for number 41	This command dumps the syscall information for number 41 in header format.	asch 41
76	Where can I find the syscall number for 'geteuid'?	syscall number for geteuid	This command returns the syscall number associated with the 'geteuid' operation.	asl geteuid
77	What is the syscall associated with number 42?	syscall name for number 42	This command returns the name of the syscall that corresponds to number 42.	asl 42
78	How can I get syscall information for number 43 in .asm format?	asm format syscall info for number 43	This command dumps the syscall information for number 43 in .asm format.	asca 43
79	Can you show me the syscall number for 'getgid'?	syscall number for getgid	This command returns the syscall number associated with the 'getgid' operation.	asl getgid
80	What is the name of the syscall for number 44?	syscall name for number 44	This command returns the name of the syscall that corresponds to number 44.	asl 44
1	What command can I use to find all the vtables in the binary?	find all vtables	The command 'av' is used to search for vtables in the data sections of the binary and display the results.	av
2	How can I get the vtable information in JSON format?	vtable information in JSON	The command 'avj' provides the same vtable information as 'av', but outputs it in JSON format for easier parsing by scripts.	avj
3	Is there a way to get the vtable data as radare2 commands?	vtable data as commands	The command 'av*' outputs the vtable information as radare2 commands, which can be useful for scripting within radare2.	av*
4	How do I parse RTTI at a specific vtable address?	parse RTTI at vtable address 0x1000	The command 'avr' followed by the address allows you to parse RTTI at a specific vtable address. This is useful to understand the class structure.	avr@0x1000
5	Can I parse RTTI for all vtables found in the binary?	parse RTTI for all vtables	The command 'avra' searches for all vtables and attempts to parse RTTI at each found vtable, providing comprehensive class structure information.	avra
6	How do I recover class information from all RTTI?	recover class info from RTTI	The command 'avrr' is used to recover class information from all findable RTTI, which can be useful for reverse engineering C++ binaries.	avrr
7	What command should I use to demangle a class name from RTTI?	demangle class name MyClass	The command 'avrD' followed by the class name is used to demangle a class name from RTTI, making it human-readable.	avrD MyClass
8	How can I find out more about vtable analysis in radare2?	learn about vtable analysis	The command 'av?' provides help and information about the available commands for vtable and RTTI analysis in radare2.	av?
9	Is there a JSON output option for parsing RTTI at a vtable address?	JSON output for RTTI at address 0x2000	The command 'avrj@addr' provides JSON output for parsing RTTI at a specific vtable address, making it easier to handle programmatically.	avrj@0x2000
10	How do I demangle a class name without specifying it directly?	demangle class name without direct input	The command 'avrD' without arguments can be used to demangle class names, potentially using context from the current analysis or defaults.	avrD
11	What command lists all the vtables and tries to parse RTTI at each one?	list and parse RTTI for each vtable	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
12	How to get detailed class information from RTTI in radare2?	get class info from RTTI	The 'avrr' command recovers class information from all findable RTTI, useful for understanding C++ class structures.	avrr
13	Is it possible to see vtable information as commands for scripting?	vtable info as commands for scripting	The 'av*' command outputs vtable information as radare2 commands, ideal for creating scripts or automating tasks.	av*
14	How do I view vtable data in a format that scripts can easily process?	vtable data for script processing	The 'avj' command outputs vtable data in JSON format, which is easily processed by scripts and external tools.	avj
15	What command should I use to search for vtables in the binary?	search for vtables	The 'av' command is used to search for vtables within the binary's data sections and display the results.	av
16	How can I extract RTTI information from a specific address?	extract RTTI from address 0x3000	The 'avr@addr' command extracts RTTI information from a specified vtable address, helping to understand the class layout.	avr@0x3000
17	Can I get a JSON output when recovering class info from RTTI?	JSON output for class info from RTTI	The 'avrrj' command provides class information recovery from RTTI in JSON format, facilitating easy data handling.	avrrj
18	How do I demangle a class name using radare2?	demangle class name ExampleClass	The 'avrD' command followed by the class name demangles it from RTTI, converting it to a readable format.	avrD ExampleClass
19	What is the command to search for and parse RTTI at each vtable?	search and parse RTTI at each vtable	The 'avra' command performs a search for vtables and parses RTTI at each one, providing detailed class information.	avra
20	How can I recover detailed class information from RTTI?	recover detailed class info from RTTI	The 'avrr' command is used to recover detailed class information from all findable RTTI, aiding in reverse engineering.	avrr
21	Is there a way to see vtable information formatted as radare2 commands?	vtable info as radare2 commands	The 'av*' command formats vtable information as radare2 commands, useful for automation and scripting tasks.	av*
22	How do I output vtable data in a machine-readable format?	output vtable data in machine-readable format	The 'avj' command outputs vtable data in JSON format, making it suitable for machine processing and scripting.	avj
23	What command can I use to find vtables in my binary?	find vtables in binary	The 'av' command searches for vtables in the binary's data sections and displays the results.	av
24	How do I parse RTTI from a specific vtable address?	parse RTTI from vtable address 0x4000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x4000
25	Can I get class information from RTTI in JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
26	How can I demangle a class name in radare2?	demangle class name MyClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD MyClassName
27	What command should I use to search for and parse RTTI at all vtables?	search and parse RTTI at all vtables	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
28	How do I recover class information using RTTI?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
29	Is there a command to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
30	How do I get vtable data in a script-friendly format?	vtable data in script-friendly format	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
31	What command can find vtables in a binary?	find vtables in binary	The 'av' command searches for vtables within the binary's data sections and displays the results.	av
32	How do I parse RTTI from a given vtable address?	parse RTTI from vtable address 0x5000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x5000
33	Can I get class info from RTTI in a JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
34	How can I demangle a class name from RTTI?	demangle class name ExampleClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD ExampleClassName
35	What is the command to search for and parse RTTI at each vtable?	search and parse RTTI at each vtable	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
36	How do I recover class information using RTTI in radare2?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
37	Is there a way to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
38	How do I get vtable data in a format suitable for scripts?	vtable data in format suitable for scripts	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
39	What command can I use to search for vtables in my binary?	search for vtables in binary	The 'av' command searches for vtables within the binary's data sections and displays the results.	av
40	How do I parse RTTI from a specific vtable address?	parse RTTI from vtable address 0x6000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x6000
41	Can I get class info from RTTI in JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
42	How can I demangle a class name in radare2?	demangle class name MyClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD MyClassName
43	What command should I use to search for and parse RTTI at all vtables?	search and parse RTTI at all vtables	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
44	How do I recover class information using RTTI?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
45	Is there a command to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
46	How do I get vtable data in a script-friendly format?	vtable data in script-friendly format	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
47	What command can find vtables in a binary?	find vtables in binary	The 'av' command searches for vtables within the binary's data sections and displays the results.	av
48	How do I parse RTTI from a given vtable address?	parse RTTI from vtable address 0x7000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x7000
49	Can I get class info from RTTI in a JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
50	How can I demangle a class name from RTTI?	demangle class name ExampleClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD ExampleClassName
51	What is the command to search for and parse RTTI at each vtable?	search and parse RTTI at each vtable	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
52	How do I recover class information using RTTI in radare2?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
53	Is there a way to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
54	How do I get vtable data in a format suitable for scripts?	vtable data in format suitable for scripts	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
55	What command can I use to search for vtables in my binary?	search for vtables in binary	The 'av' command searches for vtables within the binary's data sections and displays the results.	av
56	How do I parse RTTI from a specific vtable address?	parse RTTI from vtable address 0x8000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x8000
57	Can I get class info from RTTI in JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
58	How can I demangle a class name in radare2?	demangle class name MyClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD MyClassName
59	What command should I use to search for and parse RTTI at all vtables?	search and parse RTTI at all vtables	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
60	How do I recover class information using RTTI?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
61	Is there a command to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
62	How do I get vtable data in a script-friendly format?	vtable data in script-friendly format	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
63	What command can find vtables in a binary?	find vtables in binary	The 'av' command searches for vtables within the binary's data sections and displays the results.	av
64	How do I parse RTTI from a given vtable address?	parse RTTI from vtable address 0x9000	The 'avr@addr' command allows parsing of RTTI from a specified vtable address, helping to understand class structures.	avr@0x9000
65	Can I get class info from RTTI in a JSON format?	class info from RTTI in JSON format	The 'avrrj' command provides class information recovery from RTTI in JSON format, which is useful for further processing.	avrrj
66	How can I demangle a class name from RTTI?	demangle class name ExampleClassName	The 'avrD' command followed by the class name demangles it from RTTI, making it human-readable.	avrD ExampleClassName
67	What is the command to search for and parse RTTI at each vtable?	search and parse RTTI at each vtable	The 'avra' command searches for vtables and attempts to parse RTTI at each one, providing detailed class information.	avra
68	How do I recover class information using RTTI in radare2?	recover class info using RTTI	The 'avrr' command is used to recover class information from all findable RTTI, aiding in reverse engineering C++ binaries.	avrr
69	Is there a way to see vtable information as radare2 commands?	vtable info as radare2 commands	The 'av*' command outputs vtable information as radare2 commands, which is useful for scripting and automation.	av*
70	How do I get vtable data in a format suitable for scripts?	vtable data in format suitable for scripts	The 'avj' command provides vtable data in JSON format, which is easily processed by scripts and external tools.	avj
1	How can I see all the global variables in my program?	list all global variables	The command `avg` lists all the global variables that have been identified in the current binary.	avg
2	What command should I use to display the global variables?	display global variables	To display a list of all global variables, you can use the `avg` command.	avg
3	Is there a way to show the global variables?	show global variables	You can use the `avg` command to show all global variables that are present in the binary.	avg
4	How to add a new global variable of type int named count?	add global variable int count	To add a global variable, you specify the type and name after the `avg` command. In this case, you want to add an integer named `count`.	avg int count
5	Can I create a global variable called flag of type char?	create global variable char flag	To create a global variable, you use the `avg` command followed by the type and name. Here, you want a char variable named `flag`.	avg char flag
6	What is the command to define a global variable named buffer with type char*?	define global variable char* buffer	To define a global variable, use the `avg` command with the desired type and name, such as `char*` for a pointer to char named `buffer`.	avg char* buffer
7	How do I remove all global variables from my list?	remove all global variables	The `avg-` command deletes all global variables that have been added or identified.	avg-
8	Is there a way to clear the global variables?	clear global variables	To clear or delete all global variables, you can use the `avg-` command.	avg-
9	What command should I use to delete the global variables?	delete global variables	The command `avg-` is used to delete all global variables from the list.	avg-
10	How can I add a global variable of type float named ratio?	add global variable float ratio	To add a global variable, use `avg` followed by the type `float` and the name `ratio`.	avg float ratio
11	What command lets me create a global variable named threshold of type double?	create global variable double threshold	Use the `avg` command with the type `double` and the name `threshold` to create a global variable.	avg double threshold
