command	description
avrD [classname]	Demangle a class name from RTTI information
avg-	Delete a global variable
ax addr [at]	Add a code reference pointing to the specified address (from current seek)
ax*	Output all cross-references as radare2 commands
ax- [at]	Remove all references from or to the specified address
ax-*	Remove all cross-references
ax. [addr]	Find data and code references from and to the specified address
axc addr [at]	Add a generic code reference
axC addr [at]	Add a code call reference
axd addr [at]	Add a data reference
axF [flg-glob]	Find data and code references of flags matching the specified glob pattern
axf[?] [addr]	Find data and code references from the specified address
axff[j] [addr]	Find data and code references from the function containing the specified address
axg[j*] [addr]	Display a graph of cross-references to reach the current function
axi addr [at]	Add an indirect code reference (see ax? for more information)
axj	Add a jump reference
axl[jcq]	List cross-references (axlc = count, axlq = quiet, axlj = JSON format)
axm addr [at]	Copy data/code references pointing to addr to also point to current seek (or specified address)
axq	List cross-references in a quiet, human-readable format
axr addr [at]	Add a data-read reference
axs addr [at]	Add a string reference
axt[?] [addr]	Find data and code references to the specified address
axv[?] [addr]	List local variables with read-write-execute references
axw addr [at]	Add a data-write reference
axfj [addr]	Find data/code references to the specified address and output in JSON format
axfg [addr]	Display commands to generate graphs based on cross-references
axfq [addr]	Find and list data/code references in quiet mode
axfm [addr]	Show references in 'make' syntax (see aflm and axtm commands)
axf* [addr]	Same as axf, but output as radare2 commands
axtj ([addr])	Find data/code references to the specified address and output in JSON format
axtg ([addr])	Display commands to generate graphs based on cross-references to the address
axtq ([addr])	Find and list data/code references to the address in quiet mode
axtm ([addr])	Show cross-references to the address in 'make' syntax (see aflm and axfm commands)
axt* ([addr])	Same as axt, but output as radare2 commands
axv ([addr])	List local variables with references (optionally at specified address)
axvj ([addr])	Show local variable references in JSON format
b 32	Set block size to 32 bytes
b=32	Set block size to 32 bytes (alternative syntax)
b eip+4	Set block size using a numeric expression (e.g., current EIP value plus 4)
b+3	Increase block size by 3 bytes
b-16	Decrease block size by 16 bytes
b*	Display current block size as a radare2 command
b64:AA=	Execute a base64-encoded string without evaluating special characters
bf foo	Set block size to the size of the 'foo' flag
bj	Display block size information in JSON format
bm 1M	Set maximum block size to 1 megabyte
c* [string]	Compare block with given string and output as radare2 commands
cj [string]	Compare block with given string and output in JSON format
c1 [addr]	Compare single byte at specified address with current offset
c2[*] [value]	Compare 2-byte word at current offset with given value
c4[*] [value]	Compare 4-byte doubleword at current offset with given value
c8[*] [value]	Compare 8-byte quadword at current offset with given value
cat [file]	Display contents of the specified file (similar to pwd, ls commands)
cc [at]	Compare current block with data at specified address in two hexdump columns
ccc [at]	Compare as above, but only show lines that differ
ccd [at]	Compare current block with data at specified address in two disassembly columns
ccdd [at]	Compare decompiler output of current function with function at specified address
cd [dir]	Change current working directory
cf [file]	Compare contents of file with data at current seek
cg [file]	Show diff ratio between functions in current file and specified file
ci[?] [obid] ([obid2])	Compare two binary objects (symbols, imports, etc.)
cl|cls|clear	Clear the console screen (clear0 to move cursor to top-left, 0 only)
cmp [file] [file]	Compare two files and show differences
cu[?] [addr] @at	Compare memory hexdumps of current address and destination in unified diff format
cud [addr] @at	Show unified diff of disassembly from current address and given address
cv[1248] [hexpairs] @at	Compare 1, 2, 4, or 8 bytes silently (result stored in $?)
cV[1248] [addr] @at	Compare 1, 2, 4, or 8 bytes at address contents silently (result stored in $?)
cw[*qj] [addr]	Show or manipulate compare watchers (*=r2 commands, q=quiet, j=JSON output)
cx [hexpair]	Compare hexpair string (use '.' as nibble wildcard)
cx* [hexpair]	Compare hexpair string and output radare2 commands
cX [addr]	Compare using hexdiff output (similar to 'cc' but with hexdiff display)
cgf [fcn]	Compare current function with another specified function
cgfa	List all functions similar to the current one
cgo	Perform opcode-bytes code graph diff
cis 0	Compare symbols between current binary and the one specified by object id
cii 0	Compare imports between current binary and the one specified by object id
ciE 0	Compare exports between current binary and the one specified by object id
cil 0	Compare libraries between current binary and the one specified by object id
cu $$+1 > p	Compare hexpairs from current seek and the next byte
cu1 $$+1 > p	Compare single bytes from current seek and the next byte
cu2 $$+1 > p	Compare 2-byte words from current seek and the next byte
cu4 $$+1 > p	Compare 4-byte dwords from current seek and the next byte
cu8 $$+1 > p	Compare 8-byte qwords from current seek and the next byte
cud $$+1 > p	Compare disassembly of current seek and the next instruction
wu p	Apply a unified hex patch to the current file (patch format generated by 'cu' command)
curl ([-D data]) [http-url]	Perform an HTTP request, optionally with POST data
cw??	Display detailed help information about compare watchers
cw addr sz cmd	Add a compare watcher at specified address with given size, executing cmd on changes
cwd [addr]	Delete a compare watcher at the specified address or current address if not provided
cwr [addr]	Revert a compare watcher to its original state at the specified or current address
cwu [addr]	Update the data of a compare watcher at the specified or current address
C*	List all metadata (comments, format, etc.) as radare2 commands
C*.	List metadata of current offset as radare2 commands
C- [len] [[@]addr]	Delete metadata within the specified length at the given address range
C.	Display metadata of current offset in a human-readable format
CC!	Edit the comment at current offset using the configured editor (e.g., vim)
CC	List all comments in the binary in a human-readable format
CC.	Display the comment at the current offset
CCa[+-] [addr] [text]	Add (+) or remove (-) a comment at the specified address
CCu [comment-text] [@addr]	Add a unique comment at the specified address, avoiding duplicates
CF[sz] [fcn-sign..] [@addr]	Set or display function signature at the specified address
CL[-][*] [file:line] [addr]	Show, add, or remove 'code line' information for source-level debugging
CS[-][space]	Manage metadata spaces to organize and filter comments and other metadata
Cd[-] [size] [repeat] [@addr]	Define data array of specified size and repetition at given address
Cd. [@addr]	Show the size of data defined at the current or specified address
Cf[?][-] [sz] [0|cnt][fmt] [a0 a1...] [@addr]	Format memory with specified size, count, and format (similar to 'pf' command)
Cb[?][-] [addr] [@addr]	Bind two addresses for reference line purposes in disassembly view
Cr[?][-] [sz] [r2cmd] [@addr]	Replace SZ bytes in disassembly with output of given r2 command
Ch[-] [size] [@addr]	Hide data of specified size at given address from being analyzed or displayed
Cm[-] [sz] [fmt..] [@addr]	Parse memory using magic signatures (similar to 'pm' command)
Cs	List all strings in the binary in a human-readable format
Ct	List all variable type comments in the current function or entire binary
Ct. [@ addr]	Display the type comment at the current or specified address
Cv[?][bsr]	Add comments to function arguments (b=base, s=stack, r=registers)
Cz [size] [@addr]	Define a string of specified size at given address (alias for Csz)
CC*	List all comments in the binary as radare2 commands
CC+ [text]	Append a comment at the current address
CC, [table-query]	List comments in a table format, optionally filtered by a query
CCF [file]	Show or set a file containing comments to be loaded
CC- @ cmt_addr	Remove the comment at the specified address
CCf	List all comments within the current function
CCf-	Delete all comments in the current function
CCu base64:AA== @ addr	Add a base64-encoded comment at the specified address
CCu good boy @ addr	Add a plain text comment "good boy" at the specified address
Cs*	List all strings in the binary as radare2 commands
Cs- [@addr]	Remove the string defined at the specified address
Cs.	Display the string at the current address
Cs..	Show the string and additional information about it at the current address
Cs.j	Display the string at the current address in JSON format
Cs8 [size] ([@addr])	Add a UTF-8 encoded string of specified size at given address
Csa [size] ([@addr])	Add an ASCII/Latin1 encoded string of specified size at given address
Csg [size] ([@addr])	Add a string globally (address not required) of specified size
Csw [size] ([@addr])	Add a wide string (UTF-16) of specified size at given address
Csz [size] ([@addr])	Define a zero-terminated string with maximum length at given address
Css ([range]) ([@addr])	Automatically detect and define all strings within the specified range or section
Ct comment-text [@ addr]	Add a type comment at the current or specified address
Ct- [@ addr]	Remove the type comment at the current or specified address
d:[?] [cmd]	Execute a custom debug plugin command, use '?' for help on available commands
db	List all currently set breakpoints in the debugged program
dbt	Display a backtrace of the call stack, depth and algorithm controlled by dbg.btdepth and dbg.btalgo
dc[-pid]	Continue execution of the debugged process; optionally stop execution of a specific pid
dd[*] <file|addr>	Open a file in read-only mode for debugging; if addr is given, use it as a string pointer for the path
de[-sc] [perm] [rm] [e]	Debug using ESIL (Evaluable Strings Intermediate Language), see 'de?' for more options
dg <file>	Generate a core dump file of the current process state (Work In Progress)
dh [plugin-name]	Select a new debug handler plugin, use 'dbh' to list available plugins
dH [handler]	Transfer the debugged process to a new debug handler
di	Display detailed information about the debugged target, including memory maps and loaded libraries
dk	List all signal handlers registered by the debugged child process
dL	List all available debugger handlers and their capabilities
dm	Display a list of memory maps of the target process, showing address ranges and permissions
do	Reopen the current file in debug mode (equivalent to 'oo' command)
doo [args]	Reopen the current file in debug mode with specified arguments (alias for 'ood')
doof [args]	Reopen a file in debug mode with specified arguments (alias for 'oodf')
doc	Close the current debug session and detach from the debugged process
dp	List the current process ID (pid) and all its child processes
dr	Display the values of general-purpose registers (GPRs)
ds	Execute a single instruction in the debugged process (step into)
dt [addr]	Show trace information at the specified address or current address if not provided
dw <pid>	Block the radare2 prompt until the specified process ID (pid) terminates
dx[?][aers]	Execute code in the context of the debugged child process, use 'dx?' for more options
date [-b]	Display the current date and time; use -b option to show time in beats format
db*	List all breakpoints in radare2 command format for easy scripting and replication
db sym.main	Add a breakpoint at the entry point of the main function
db <addr>	Add a software breakpoint at the specified memory address
dbH <addr>	Add a hardware breakpoint at the specified memory address (requires hardware support)
db- <addr>	Remove the breakpoint at the specified memory address
db-*	Remove all breakpoints from the current debugging session
db.	Display detailed information about the breakpoint at the current program counter
dbj	List all breakpoints in JSON format for easy parsing and integration
dbc <addr> <cmd>	Set a command to be executed when the breakpoint at <addr> is hit
dbC <addr> <cmd>	Set a conditional breakpoint: continue execution until <cmd> returns zero
dbd <addr>	Disable the breakpoint at the specified address without removing it
dbe <addr>	Enable a previously disabled breakpoint at the specified address
dbs <addr>	Toggle the state of the breakpoint at the specified address (enable/disable)
dbf	Automatically place breakpoints on all functions that don't return (e.g., exit functions)
dbm <module> <offset>	Add a breakpoint at a specific offset from a loaded module's base address
dbn [<name>]	Set or display a custom name for the current or specified breakpoint
dbi	List all breakpoints with their index numbers for easy reference
dbi <addr>	Display the index of the breakpoint at the specified address
dbi.	Show the index of the breakpoint at the current program counter
dbi- <idx>	Remove the breakpoint with the specified index number
dbix <idx> [expr]	Set a conditional expression for the breakpoint at the given index
dbic <idx> <cmd>	Assign a command to be executed when the breakpoint at the given index is hit
dbie <idx>	Enable the breakpoint with the specified index number
dbid <idx>	Disable the breakpoint with the specified index number
dbis <idx>	Swap the enabled state of the Nth breakpoint in the list
dbite <idx>	Enable tracing for the breakpoint at the specified index
dbitd <idx>	Disable tracing for the breakpoint at the specified index
dbits <idx>	Toggle the tracing state for the Nth breakpoint in the list
dbh x86	Set or list breakpoint handlers specific to the x86 architecture
dbh- <name>	Remove a previously set breakpoint handler by its name
dbx [expr]	Set a conditional expression for a breakpoint at the current address
dbw <addr> <r/w/rw>	Add a watchpoint to monitor read, write, or both operations at the specified address
drx number addr len perm	Modify a hardware breakpoint by specifying its number, address, length, and permissions
drx-number	Clear (remove) a hardware breakpoint identified by its number
dbt*	Display backtrace information as radare2 flags for easy scripting
dbt=	Show a compact backtrace on a single line (use dbt=s for stack pointer or dbt=b for base pointer)
dbtv	Display a detailed backtrace including local variables, if available
dbtj	Output the backtrace information in JSON format for easy parsing
dbta	Generate and display an ASCII-art representation of the stack backtrace
dbte <addr>	Enable breakpoint tracing at the specified address
dbtd <addr>	Disable breakpoint tracing at the specified address
dbts <addr>	Toggle (swap) the state of breakpoint tracing at the specified address
dc <pid>	Continue execution of the debugged process with the given process ID (pid)
dcb	Continue execution backwards until a breakpoint is hit (requires reverse debugging support)
dcc	Continue execution until the next function call, using step-into behavior
dcco	Continue execution until the next function call, using step-over behavior
dccu	Continue execution until an unknown call (e.g., call to a register) is encountered
dce	Continue execution and pass any raised exceptions to the debugged program
dcf	Continue execution until a fork system call is encountered (TODO: not fully implemented)
dck <signal> <pid>	Continue execution while sending a specific signal to the debugged process
dcp	Continue execution until reaching program code (mapped I/O section)
dcr	Continue execution until a return instruction is reached, using step-over behavior
dcs [str]	Continue execution until the next call to the specified syscall (if str is provided)
dct <len>	Perform a trap trace from the current seek position for the specified length
dcu [from] [to]	Continue execution until reaching an address within the specified range
dcs*	Trace all system calls, similar to the strace utility
dcu.	Alias for 'dcu $$', continue until the current address is reached
dcu address	Continue execution until the specified address is reached
dd+[*] <file|addr>	Open or create a file with read-write permissions; if addr is provided, use it as a char* for the path
dd-[*] <fd>	Close the specified file descriptor
ddt[*]	Close the terminal file descriptor (alias for 'dd- 0')
dds[*] <fd> [offset]	Seek the specified file descriptor to the given offset (or to the beginning if no offset is provided)
ddd[*] <oldfd> <newfd>	Duplicate oldfd to newfd using the dup2 system call
ddf[*] <addr>	Create a pipe and write the file descriptors to the specified address (as int[2])
ddr[*] <fd> <addr> <size>	Read a specified number of bytes from the given file descriptor into the memory at addr
ddw[*] <fd> <addr> <size>	Write a specified number of bytes from the memory at addr to the given file descriptor
di*	Display detailed information about the debugged process in radare2 command format
dir	Alias for the 'ls' command, listing files in the current directory
diq	Display detailed information about the debugged process in a concise, single-line format
dij	Output detailed information about the debugged process in JSON format
dif [$a] [$b]	Compare two files or $alias files, displaying differences between them
dk <signal>	Send a specific signal to the debugged child process
dk <signal>=1	Set a custom signal handler for the specified signal in the debugged child process
dk?<signal>	Resolve and display information about a signal name or number
dko [signal] [skip|cont]	Configure how a specific signal should be handled: skip it or continue execution
dko <signal> [|skip|cont]	Set signal handling: skip the handler or continue into it for the specified signal
dkj	List all configured signal handlers in JSON format
dLq	Display a list of all registered debugger handlers in a quiet, compact mode
dLj	Output a list of all registered debugger handlers in JSON format
dL <handler>	Set or change the current debugger handler to the specified one
dm address size	Allocate a specified amount of memory at the given address in the debugged process (use -1 for automatic address selection)
dm=	Display a visual representation of memory maps for the target process using ASCII-art bars
dm.	Show the name of the memory map containing the current address
dm*	List all memory maps of the debugged process in a format suitable for radare2 commands
dm- address	Deallocate (free) the memory map at the specified address
dmd[aw] [file]	Dump the current debug map region (all or writable) to a file named from-to.dmp (see Sd command)
dmh	Display a comprehensive list of process memory zones, including their properties
dmi [addr|libname] [symname]	List symbols of a target library, optionally filtered by symbol name
dmi* [addr|libname] [symname]	List symbols of a target library in radare2 command format, optionally filtered by symbol name
dmi.	Display the closest symbol to the current address in the debugged process
dmis [libname]	Import all symbols from the specified library as flags (similar to .dmi*)
dmiv	Show the memory address of a given symbol for a specified library
dmj	Output a list of all memory maps in JSON format
dml <file>	Load the contents of a file into the current memory map region
dmm	List all loaded modules (libraries) of the target process
dmp [perms]	Modify the permissions of the current debug map (e.g., read, write, execute)
dms	Display a list of all saved memory snapshots
dms- <id> <mapaddr>	Restore a previously saved memory snapshot by its ID and map address
dmS[*] [addr|libname] [sectname]	List sections of a target library, optionally filtered by section name
dmL address size	Allocate memory of the specified size at the given address and promote it to a huge page for performance
dmm*	List modules of the target process in radare2 command format
dmm.	Display memory map information for the currently selected module
dmmj	List modules of the target process in JSON format
dms addr	Create a new memory snapshot of the map at the specified address
dms-id	Delete a memory snapshot by its ID
dms.	Take a snapshot of the current memory map
dms-	Revert to the previous memory snapshot
dms+	Re-apply the last memory snapshot
dms*	List all memory snapshots in radare2 command format
dmsj	Output a list of all memory snapshots in JSON format
dmsC id comment	Add a comment to a specific memory snapshot identified by its ID
dmsd id	Show a hexadecimal diff of the given snapshot compared to current memory (see `ccc` command)
dmsw	Create a snapshot of all writable memory maps
dmsa	Take a full snapshot of all memory maps in the debugged process
dor [rarun2]	Set debugger options using a comma-separated list of key=value pairs from a rarun2 profile (see dbg.profile)
doe	Display the current rarun2 startup profile for debugging
doe!	Open the rarun2 startup profile in the default text editor ($EDITOR) for modification
dpq	Display the current process ID (PID) in a concise format (equivalent to dp.)
dp <pid>	List all child processes of the specified process ID
dpj <pid>	List all child processes of the specified process ID in JSON format
dpl	Display a list of all processes that can be attached to for debugging
dplj	Display a list of all attachable processes in JSON format
dp- <pid>	Detach from the specified process ID
dp=<pid>	Select and switch to the specified process ID for debugging
dpa <pid>	Attach to and select the specified process ID for debugging
dpc	Select the forked child process (as configured by dbg.forks)
dpc*	Display information about the forked child process (as configured by dbg.forks)
dpe	Show the full path to the executable of the current debugged process
dpf	Attach to a process using a file descriptor (advanced usage)
dpk <pid> [<signal>]	Send a signal to the specified process (default signal is 0 if not provided)
dpn	Create a new process by forking the current debugged process
dpt[?][j]	List all threads of the current process
dpt <pid>	List all threads of the specified process ID
dpt.	Display the ID of the current thread being debugged
dptj	List all threads of the current process in JSON format
dptn	Create a new thread in the current process (using clone)
dptj <pid>	List all threads of the specified process ID in JSON format
dpt=<thread>	Attach to and select the specified thread for debugging
dr <register>=<val>	Set the value of a specific register
dr. >$snapshot	Save the current register values to an r2 alias file for later use
dr, [table-query]	Display register information in a tabular format, optionally filtered by a query
dr0	Reset all registers to their default (zero) values
dr8[1|2|4|8] [type]	Display a hexadecimal dump of the general-purpose register (GPR) arena (Work in Progress)
dr=	Show all registers and their values in a columnar format
dr?<register>	Display the current value of a specific register
dr??	List all register role aliases and their corresponding values
dra[?]	Manage register arenas (see 'ara?' for more information)
drb[1|2|4|8] [type]	Display a hexadecimal dump of the general-purpose register (GPR) arena (Work in Progress)
drc [name]	Manage conditional flag registers
drC [register]	Display comments associated with a specific register
drd	Show only registers whose values have changed since the last update
dre	Display ESIL expressions that would set registers to their current values
drf	Show floating-point (FPU) registers (80-bit long double format)
dri	Display registers sorted by their current values (inverse dump)
drl[j]	List all register names, optionally in JSON format
drv[?]	Display vector registers (also known as SVE, packed, or multimedia registers)
dro	Show the previous (old) values of registers before the last change
drp[?]	Display or manage the current register profile
drr	Show register references, displaying a telescoping view of memory pointed to by registers
drrj	Show register references in JSON format, providing a telescoping view of memory
drs	Display the contents of the register stack
drt[?]	Show all register types supported by the current architecture
drw <hexnum>	Set the entire register arena to the specified hexadecimal value
drx[?]	Display debug registers (hardware breakpoints and watchpoints)
.dr*	Import common register values as flags for easier reference and analysis
.dr-	Remove all register-related flags, clearing the flag space
drs+	Push the current register state onto a stack, saving it for later retrieval
drs-	Pop and restore a previously saved register state from the stack
ds <num>	Step forward by executing <num> instructions, allowing precise control over program flow
dsb	Step backwards by one instruction, useful for reversing program execution
dsf	Step until the end of the current function frame is reached
dsi <cond>	Continue execution until the specified condition is met, allowing for conditional debugging
dsl	Step one source line, moving through the program at the source code level
dsl <num>	Step forward by <num> source lines, useful for quickly navigating through source code
dso <num>	Step over <num> instructions, executing function calls as a single step
dsp	Step into the program while skipping over library calls, focusing on application code
dss <num>	Skip the next <num> instructions without executing them
dsu[?] <address>	Step until the program reaches the specified <address>. Use 'dsu?' for additional step-until commands
dsu <address>	Step until the program counter reaches the specified <address>
dsui <instr>	Step until an instruction matching the given disassembly is encountered
dsuir <regex>	Step until an instruction matching the given regular expression is encountered
dsuo <optype> [<optype> ...]	Step until an instruction matching any of the specified operation types is encountered
dsue <esil>	Step until the given ESIL (Evaluable Strings Intermediate Language) expression is matched
dsuf <flag>	Step until the program counter reaches an address matching the specified flag name
dt*	List all traced opcode offsets, providing a comprehensive view of execution trace
dtj	Display instruction trace logs in JSON format for easy parsing and analysis
dt+ [addr] [times]	Add a trace for the specified address, optionally repeating it multiple times
dt-	Reset all instruction and call traces, clearing the trace history
dt=	Display a visual representation of debug trace ranges using ASCII-art color bars
dta 0x804020 ...	Selectively trace only the specified addresses, allowing focused tracing
dtc[?][addr]|([from] [to] [addr])	Trace function calls and returns, optionally within a specified address range
dtd[qi] [nth-start]	List traced disassembled instructions, with options for quiet output or showing only instructions
dte [idx]	Show commands executed at the specified trace index, useful for reviewing specific points in execution
dtg	Generate a graph of the call/return trace, visualizing program flow
dtg*	Output the call/return trace graph as r2 commands, use with .dtg*;aggi for visual representation
dtgi	Enter an interactive debug trace mode for dynamic analysis
dts[?]	Manage trace sessions, enabling step-back functionality (EXPERIMENTAL)
dtt [tag]	Select or set a trace tag for organizing different trace sessions
dtt.	Display the currently active trace tag
dte-*	Delete all recorded ESIL (Evaluable Strings Intermediate Language) traces
dtei	Emulate a single instruction and record a trace of its effects
dted	Disassemble all traced instructions, providing a comprehensive view of executed code
dtek [sdb query]	Retrieve ESIL trace log for a single instruction using an sdb query
dts+	Start a new trace session, beginning the recording of execution
dts-	Stop the current trace session, ending the recording of execution
dtst [dir]	Save all trace sessions to disk in the specified directory
dtsf [dir]	Load trace sessions from disk, reading from the specified directory
dtsm	List the current memory map and its hash, useful for identifying memory state
dx <hexpairs>	Execute raw opcodes specified as hexadecimal pairs (e.g., dx 9090 executes two NOP instructions)
dxa <asm>	Assemble and execute the specified assembly code (e.g., dxa mov eax,6;mov ebx,0; executes two MOV instructions)
dxe[?] <egg-expr>	Compile and execute an egg expression, a compact code representation (e.g., dxe sym.imp.puts("foo") calls the puts function with the string "foo")
dxr <hexpairs>	Execute raw opcodes and restore the original CPU state afterwards
dxrs <hexpairs>	Execute raw opcodes and restore the original CPU state, excluding stack changes
dxs <name> [args]	Perform syscall injection, executing a system call with the given name and arguments (e.g., "dxs write 1, 0x8048, 12" writes 12 bytes from 0x8048 into stdout)
e?asm.bytes	Display detailed help and description for the asm.bytes configuration variable
e??	Display comprehensive list of all configuration variables with their descriptions
e a	Get the current value of configuration variable 'a'
e a=b	Set configuration variable 'a' to value 'b'
e.a=b	Alternative syntax to set variable 'a' to 'b' without spaces (equivalent to 'e a=b')
e,[table-query]	Display configuration variables in a formatted table view, filtered by optional query
e/asm	Filter and show only configuration variables containing 'asm' in their names
e:k=v:k=v:k=v	Set multiple configuration variables at once using colon or comma separated key=value pairs
e-	Reset all configuration variables to their default values
e*	Export all configuration variables as radare2 commands for scripting
e!a	Toggle/invert the boolean value of configuration variable 'a'
ec [key]	List all color keys or display information for a specific color key, allowing customization of the radare2 color scheme
ee [var]	Open the configuration editor (specified by cfg.editor) to modify the value of a specific configuration variable
ed	Open an editor to modify the ~/.radare2rc configuration file, allowing customization of radare2's default settings
ed-[!]	Delete the ~/.radare2rc configuration file (use ed-! to delete without prompting), resetting radare2 to default settings
ej	List all configuration variables in JSON format, facilitating easy parsing and integration with other tools
eJ	List all configuration variables in a more detailed JSON format, providing additional information for each variable
en	List all environment variables accessible to radare2, showing the current execution environment
env [k[=v]]	Get the value of an environment variable or set a new value, allowing runtime environment modifications
er [key]	Set a configuration key as read-only, preventing further modifications to ensure stability or security
es [space]	List all evaluation spaces or keys within a specific space, organizing configuration variables into categories
et [key]	Show the data type of a given configuration variable, helping understand its expected value format
ev [key]	List configuration variables in a verbose format, providing detailed information about each variable
evj [key]	List configuration variables in a verbose JSON format, combining detailed information with easy parsing
ec*	Output color configuration as radare2 commands, allowing for easy replication or scripting of color schemes
ecd	Reset the color palette to its default values, restoring the original radare2 color scheme
ecr	Set a random color palette, useful for quickly changing the visual appearance (see also scr.randpal for persistent randomization)
ecs	Display a colorful representation of the current palette, visually showcasing all available colors
ecj	Show the current color palette in JSON format, facilitating programmatic color scheme analysis or modification
ecc [prefix]	Display the current color palette in CSS format, optionally filtered by a prefix, useful for web-based interfaces
eco [theme]	Load a specific color theme if provided, or list all available themes if no argument is given
ecp	Load the previous color theme in the theme history, allowing quick theme switching
ecn	Load the next color theme in the theme history, cycling through available themes
ecH	List all active syntax highlighting rules, showing how different elements are currently highlighted
ecHi[color]	highlight current instruction with 'color' background
ecHw[word] [color]	highlight 'word ' in current instruction with 'color' background
ecH.	show highlight rule in current offset
ecH-*	remove all the highlight hints
ecH-	remove all highlights on current instruction
f name 12 @ 33	Create a flag named 'name' with a length of 12 bytes at offset 33
f name = 33	Set a flag named 'name' at offset 33 (equivalent to 'f name @ 33' or 'f name 1 33')
f name 12 33 [cmt]	Create a flag named 'name' with length 12 at offset 33, optionally adding a comment
f?flagname	Check if a flag named 'flagname' exists, returning true or false (see ?? and ?! for more details)
f. [*[*]]	List local per-function flags, optionally as r2 commands (use * or ** for different output formats)
f.blah=$$+12	Create a local function label named 'blah' at the current address plus 12 bytes (f.blah@$$+12)
f.-blah	Delete the local function label named 'blah'
f. fname	List all local labels for the function named 'fname'
f,	Display flags in a tabular format for easy reading
f*	List all flags in the format of r2 commands, useful for scripting
f-.blah@fcn.foo	Remove the local label 'blah' from the function 'foo' at the current seek position (equivalent to f.-)
f-name	Remove the flag named 'name' from the flag list
f-@addr	Remove the flag at the specified address expression (equivalent to f-$$ or f-0x..)
f--	Delete all flags and flag spaces, effectively reinitializing the flag system
f+name 12 @ 33	Create a new flag named 'name' with length 12 at offset 33, or update it if it already exists
f= [glob]	Display a visual representation of flag ranges with offsets and sizes, optionally filtered by a glob pattern
fa [name] [alias]	Create an alias for a flag, allowing it to evaluate an expression
fb [addr] [flag*]	Move all flags matching the pattern 'flag*' to a new address relative to 'addr'
fc	Display flag colors (same functionality as fc.)
fC [name] [cmt]	Set or update a comment for the specified flag
fd[?] addr	Calculate and return the delta between the given address and the nearest flag
fD[?] rawname	Demangle a flag name or create a new flag using a raw (mangled) name
fe [name]	Create an enumerated flag with the given name, appending sequential numbers (e.g., fe foo @@= 1 2 3 4 creates foo.1, foo.2, foo.3, foo.4)
fe-	Reset the enumerator counter used for creating sequential flag names
ff ([glob])	Calculate and display the distance in bytes to the next flag, optionally filtered by a glob pattern (see also: sn/sp commands)
fi [size] | [from] [to]	Display flags within the current block or specified range, providing information about flags in a specific area of memory
fg[*] ([prefix])	Generate and display a graph representation of flag names, optionally filtered by a prefix, useful for visualizing flag relationships
fj	Output a comprehensive list of all flags in JSON format, facilitating programmatic analysis and integration
fq	Display a concise list of flags in quiet mode, showing only essential information for each flag
fl (@[flag]) [size]	Show or modify the length (size) of a flag, either at the current address or for a specified flag
fla [glob]	Automatically calculate and set the size of all flags matching the given glob pattern, useful for batch flag size adjustments
fm addr	Relocate the flag at the current offset to a new address, maintaining its properties
fn	List all flags, displaying their real (demangled) names instead of raw or encoded names
fnj	Output a list of flags with their real (demangled) names in JSON format, combining readability with machine-parseable structure
fN [[name]] [realname]	Assign or update the real name of a flag, using the current seek position if no flag name is provided
fo	Display a random fortune message, adding a touch of whimsy to the radare2 experience
fO [glob]	Automatically flag functions, symbols, and methods as ordinals, optionally filtered by a glob pattern
fr [[old]] [new]	Rename a flag, using the current seek position's flag if no old name is specified
fR[?] [from] [to] [mask]	Relocate all flags matching a specified pattern, applying an optional bitmask during the process
fs	List and manage flag spaces, which are used to organize flags into categories
ft	Display a comprehensive list of all tags associated with flags
fV[*-] [nkey] [offset]	Manage visual marks, allowing for dumping, restoring, or manipulating bookmarked locations in the binary
fx[d]	Show a hexadump or disassembly of the data at a flag's location, using the flag's size as the display length
fz[?][name]	Create, manage, or delete named flag zones, which are used to group flags in specific regions of the binary
fc color	Apply a specified color to all flags at the current offset, enhancing visual distinction
fc flag=color	Assign a specific color to a given flag, equivalent to using 'fc color@flag'
fc.	Retrieve and display the color(s) assigned to all flags at the current offset
fc-	Remove any color assignments from flags at the current offset
fc-flagname	Remove the color assignment from a specific flag identified by its name
fc-*	Clear all color assignments from all flags, resetting the color scheme
fc*	List all flag color assignments in the format of radare2 commands, useful for scripting or replication
fc.*	Apply colors to all flags at the current offset based on their existing color assignments
fd $$	Calculate and display the distance between the current address and the nearest flag, showing both flag name and delta
fd. $$	List all flags at the current address without showing distance information
fdj $$	Output information about the flag at the current address in JSON format
fdd $$	Describe the flag at the current address, ignoring any space restrictions
fdw [string]	Find and display the closest flag to the current offset that matches the given string
fD rawname	Display the demangled (human-readable) version of a flag name from its raw (mangled) form
fD. rawname	Create a new flag at the current offset using the provided raw name, then demangle it
fDj rawname	Output the demangled flag name information in JSON format
fD* rawname	Generate r2 commands to create a valid flag from a raw name, applying necessary transformations
fR entry0 `dm~:1[1]`	Relocate the entry point of the binary to a new address obtained from memory mapping
fs*	List all flag spaces and their contents as r2 commands for scripting or replication
fsj	Display comprehensive information about all flag spaces in JSON format
fs *	Activate all flag spaces, making all flags visible and accessible
fs flagspace	Select an existing flag space or create a new one if it doesn't exist
fs-flagspace	Delete the specified flag space and all flags within it
fs-*	Remove all flag spaces, effectively resetting the flag organization system
fs+foo	Save the current flag space to the stack and switch to the 'foo' flag space
fs-	Return to the previously active flag space from the flag space stack
